feature,importance
ANNUITY_LENGTH,223
EXT_SOURCE_MEAN,176
CREDIT_GOODS_RATIO,152
INST_AMT_PAYMENT_SUM,112
POS_CNT_INSTALMENT_FUTURE_MEAN,109
EXT_SOURCE_3,104
EMPLOYED_TO_AGE_RATIO,101
DAYS_LAST_PHONE_CHANGE,95
INST_LATE_PAYMENT_MEAN,94
DAYS_ID_PUBLISH,94
EXT_SOURCE_1,93
INST_DAYS_LATE_SUM,93
DAYS_BIRTH,92
AGE_YEARS,92
EXT_SOURCE_2,90
POS_MONTHS_BALANCE_MEAN,88
BUREAU_DAYS_CREDIT_ENDDATE_MAX,86
EXT_SOURCE_MAX,86
EXT_SOURCE_MIN,83
AMT_ANNUITY,82
DAYS_REGISTRATION,74
ANNUITY_INCOME_RATIO,74
BUREAU_DAYS_CREDIT_MAX,74
PREV_HOUR_APPR_PROCESS_START_MEAN,73
INST_NUM_INSTALMENT_NUMBER_MAX,73
REGION_POPULATION_RELATIVE,72
CREDIT_INCOME_RATIO,71
INST_PAYMENT_DIFF_MEAN,70
PREV_AMT_ANNUITY_MIN,69
BUREAU_AMT_CREDIT_SUM_SUM,68
BUREAU_AMT_CREDIT_SUM_MAX,67
BUREAU_DAYS_CREDIT_MEAN,66
BUREAU_DAYS_CREDIT_ENDDATE_SUM,64
INST_DAYS_LATE_MAX,62
BUREAU_AMT_CREDIT_SUM_MEAN,62
BUREAU_AMT_CREDIT_SUM_DEBT_MEAN,60
POS_MONTHS_BALANCE_MAX,60
INST_DAYS_LATE_MEAN,59
BUREAU_DAYS_CREDIT_ENDDATE_MEAN,58
BUREAU_DAYS_ENDDATE_FACT_MAX,57
INST_NUM_INSTALMENT_VERSION_MEAN,57
DAYS_EMPLOYED,56
PREV_PREV_REFUSED_SUM,56
AMT_GOODS_PRICE,54
BUREAU_DAYS_ENDDATE_FACT_MEAN,53
BUREAU_DAYS_ENDDATE_FACT_MIN,53
PREV_RATE_DOWN_PAYMENT_MAX,52
OWN_CAR_AGE,50
AMT_CREDIT,50
POS_CNT_INSTALMENT_MEAN,49
OCCUPATION_TYPE,48
POS_CNT_INSTALMENT_MAX,48
NAME_EDUCATION_TYPE,48
ORGANIZATION_TYPE,47
BUREAU_AMT_CREDIT_SUM_MIN,47
BUREAU_AMT_CREDIT_SUM_DEBT_SUM,44
BUREAU_DAYS_CREDIT_ENDDATE_MIN,44
CC_CC_UTILIZATION_MEAN,44
PREV_AMT_CREDIT_MAX,42
INST_AMT_PAYMENT_MEAN,42
PREV_AMT_GOODS_PRICE_MIN,41
CC_AMT_DRAWINGS_CURRENT_MEAN,41
PREV_AMT_CREDIT_MEAN,40
EXT_SOURCE_STD,40
EMPLOYED_YEARS,39
PREV_AMT_DOWN_PAYMENT_MAX,39
PREV_AMT_ANNUITY_MEAN,39
CODE_GENDER,39
BUREAU_DAYS_CREDIT_MIN,38
PREV_AMT_ANNUITY_MAX,38
BUREAU_DAYS_CREDIT_SUM,38
CC_CC_UTILIZATION_MAX,37
PREV_AMT_CREDIT_MIN,36
BUREAU_DAYS_ENDDATE_FACT_SUM,36
INCOME_PER_PERSON,35
BUREAU_AMT_CREDIT_MAX_OVERDUE_MEAN,33
PREV_AMT_DOWN_PAYMENT_MEAN,33
AMT_INCOME_TOTAL,33
INST_PAYMENT_DIFF_SUM,32
CC_AMT_CREDIT_LIMIT_ACTUAL_MEAN,32
PREV_AMT_GOODS_PRICE_MEAN,31
NAME_INCOME_TYPE,31
BUREAU_AMT_CREDIT_SUM_DEBT_MAX,30
PREV_AMT_APPLICATION_MEAN,30
PREV_RATE_DOWN_PAYMENT_MEAN,29
POS_SK_DPD_DEF_MEAN,29
DOCUMENTS_COUNT,28
BUREAU_AMT_CREDIT_MAX_OVERDUE_SUM,27
APARTMENTS_AVG,26
LIVINGAPARTMENTS_AVG,25
YEARS_BEGINEXPLUATATION_AVG,25
TOTALAREA_MODE,25
COMMONAREA_AVG,24
PREV_AMT_DOWN_PAYMENT_MIN,24
PREV_AMT_APPLICATION_MIN,24
HOUR_APPR_PROCESS_START,24
BUREAU_AMT_CREDIT_SUM_LIMIT_MEAN,23
YEARS_BEGINEXPLUATATION_MEDI,22
NAME_FAMILY_STATUS,22
LANDAREA_MEDI,22
CC_MONTHS_BALANCE_MEAN,22
POS_POS_LATE_MEAN,22
CC_AMT_BALANCE_MAX,22
BUREAU_AMT_CREDIT_SUM_DEBT_MIN,21
LANDAREA_AVG,21
YEARS_BEGINEXPLUATATION_MODE,21
PREV_HOUR_APPR_PROCESS_START_MAX,21
FLAG_WORK_PHONE,20
BUREAU_AMT_CREDIT_MAX_OVERDUE_MAX,20
PREV_AMT_APPLICATION_MAX,20
BASEMENTAREA_AVG,20
CC_AMT_PAYMENT_CURRENT_SUM,19
NONLIVINGAREA_MODE,19
DEF_30_CNT_SOCIAL_CIRCLE,18
NONLIVINGAREA_AVG,18
LIVINGAPARTMENTS_MODE,17
APARTMENTS_MODE,17
LIVINGAREA_AVG,16
INST_LATE_PAYMENT_SUM,15
LIVINGAREA_MODE,15
INST_NUM_INSTALMENT_VERSION_MAX,15
AMT_REQ_CREDIT_BUREAU_YEAR,15
CC_AMT_BALANCE_MEAN,15
COMMONAREA_MODE,15
YEARS_BUILD_MODE,15
BASEMENTAREA_MEDI,14
YEARS_BUILD_AVG,14
